From Artist,To Artist,Weight
"""Weird Al"" Yankovic",Jonathan Coulton,55
"""Weird Al"" Yankovic",Stephen Lynch,54.5
"""Weird Al"" Yankovic",Da Vinci's Notebook,55.5
"""Weird Al"" Yankovic",Tom Lehrer,53
"""Weird Al"" Yankovic",Monty Python,55.5
"""Weird Al"" Yankovic",Flight of the Conchords,56
"""Weird Al"" Yankovic",The Lonely Island,29.5
"""Weird Al"" Yankovic",Adam Sandler,29.5
"""Weird Al"" Yankovic",Starbomb,29.5
"""Weird Al"" Yankovic",Richard Cheese,29.5
"""Weird Al"" Yankovic",The Simpsons,29.5
"""Weird Al"" Yankovic",Garfunkel and Oates,52.5
"""Weird Al"" Yankovic",Tim Minchin,55
"""Weird Al"" Yankovic",Bob Rivers,29.5
"""Weird Al"" Yankovic",They Might Be Giants,60
"""Weird Al"" Yankovic",Parry Gripp,29.5
"""Weird Al"" Yankovic",Tenacious D,29.5
"""Weird Al"" Yankovic",Arrogant Worms,47
"""Weird Al"" Yankovic",Bad Lip Reading,29.5
"""Weird Al"" Yankovic",The Gregory Brothers,29.5
40mP,DECO*27,56.5
40mP,Dixie Flatline,23.5
40mP,iroha(sasaki),23.5
40mP,livetune,48.5
40mP,AVTechNO!,23.5
40mP,sasakure.UK,49
40mP,EasyPop,42.5
40mP,doriko,23.5
40mP,OSTER project,43
40mP,Re:nG,23.5
40mP,164,23.5
40mP,PolyphonicBranch,23.5
40mP,Last Note.,23.5
40mP,monaca:factory,23.5
40mP,Aiobahn,23.5
40mP,IA,23.5
40mP,daniwellP,41.5
40mP,buzzG,39.5
40mP,Clean Tears,23.5
40mP,Mikumix,23.5
A.COE,Hot Freaks,31.5
A.COE,C7,16.5
A.COE,Neblix,1.5
A.COE,Tuned Logic,0.5
A.COE,Flexstyle,0.5
A.COE,Anticitizen,0.5
A.COE,Air3s,0.5
A.COE,Brandon Strader,2
A.COE,Kozilek,0.5
A.COE,Kunal Majmudar,0.5
A.COE,A.M.T,0.5
A.COE,Squint,0.5
A.COE,The Bonkers,0.5
A.COE,Heath Morris,0.5
A.COE,Meteo Xavier and Michael Huang,0.5
A.COE,Amphibious,0.5
A.COE,WillRock,0.5
A.COE,Sole Signal,0.5
A.COE,Flickerfall,0.5
A.COE,Patrick Burns,0.5
