From Artist,To Artist,Weight
24kGoldn,POORSTACY,72.5
24kGoldn,iann dior,40
24kGoldn,Lil Tecca,40
24kGoldn,jxdn,76
24kGoldn,Trevor Daniel,40
24kGoldn,Arizona Zervas,76.5
24kGoldn,Bankrol Hayden,75.5
24kGoldn,Tyla Yaweh,75.5
24kGoldn,Internet Money,80
24kGoldn,Lil Mosey,79
24kGoldn,KillBunk,73.5
24kGoldn,Flipp Dinero,40
24kGoldn,Landon Cube,74
24kGoldn,Dro Kenji,73
24kGoldn,Yung Pinch,72.5
24kGoldn,Lil Gnar,71
24kGoldn,benny blanco,40
24kGoldn,mike.,78.5
24kGoldn,Rarin,40
24kGoldn,KYLE,40
3 Doors Down,Seether,75.5
3 Doors Down,Hoobastank,36.5
3 Doors Down,Shinedown,76.5
3 Doors Down,Fuel,36.5
3 Doors Down,Crossfade,36.5
3 Doors Down,Creed,36.5
3 Doors Down,Default,36.5
3 Doors Down,Hinder,36.5
3 Doors Down,Daughtry,36.5
3 Doors Down,12 Stones,36.5
3 Doors Down,Theory of a Deadman,36.5
3 Doors Down,Breaking Benjamin,76.5
3 Doors Down,Nickelback,78.5
3 Doors Down,Staind,36.5
3 Doors Down,Puddle Of Mudd,36.5
3 Doors Down,Sick Puppies,36.5
3 Doors Down,Three Days Grace,77
3 Doors Down,Saving Abel,36.5
3 Doors Down,Trapt,36.5
3 Doors Down,Finger Eleven,36.5
38 Special,Molly Hatchet,60
38 Special,Loverboy,63.5
38 Special,Eddie Money,69.5
38 Special,Billy Squier,67
38 Special,The J. Geils Band,64
38 Special,Head East,57
38 Special,REO Speedwagon,67.5
38 Special,The Outlaws,62.5
38 Special,Bachman-Turner Overdrive,65
38 Special,Boston,69.5
38 Special,Joe Walsh,63.5
38 Special,Jefferson Starship,60.5
38 Special,Sammy Hagar,65.5
38 Special,Foghat,61.5
38 Special,Atlanta Rhythm Section,59.5
38 Special,April Wine,60
38 Special,The Georgia Satellites,60
38 Special,Triumph,58.5
38 Special,Blackfoot,59.5
38 Special,The Marshall Tucker Band,63.5
49 Winchester,Cole Chaney,45
49 Winchester,Nicholas Jamerson,22.5
49 Winchester,Drayton Farley,22.5
49 Winchester,Arlo McKinley,48
49 Winchester,Pony Bradshaw,22.5
49 Winchester,Slade Coulter,22.5
49 Winchester,John R. Miller,44
49 Winchester,J.R. Carroll,22.5
49 Winchester,Charles Wesley Godwin,48.5
49 Winchester,Treaty Oak Revival,22.5
49 Winchester,The Lowdown Drifters,22.5
49 Winchester,Red Shahan,48.5
49 Winchester,Taylor McCall,22.5
49 Winchester,Ward Davis,22.5
49 Winchester,The Wilder Blue,22.5
49 Winchester,Jesse Daniel,43.5
49 Winchester,Cameron Sacky Band,22.5
49 Winchester,Jarrod Morris,22.5
49 Winchester,Josh Meloy,22.5
49 Winchester,Jason Eady,22.5
AC/DC,Guns N' Roses,85
AC/DC,Airbourne,73.5
AC/DC,KISS,80
AC/DC,Alice Cooper,75.5
AC/DC,Aerosmith,81.5
AC/DC,Judas Priest,76.5
AC/DC,Dio,83.5
AC/DC,Ozzy Osbourne,79
AC/DC,Scorpions,80
AC/DC,Deep Purple,77.5
