From Artist,To Artist,Weight
2 LIVE CREW,Sir Mix-A-Lot,55
2 LIVE CREW,Digital Underground,56
2 LIVE CREW,ICE-T,56.5
2 LIVE CREW,Kool Moe Dee,54
2 LIVE CREW,Whodini,49.5
2 LIVE CREW,MC Hammer,57
2 LIVE CREW,Tone-Loc,52
2 LIVE CREW,Boogie Down Productions,49
2 LIVE CREW,Fat Boys,46.5
2 LIVE CREW,Run–D.M.C.,60
2 LIVE CREW,Poison Clan,41.5
2 LIVE CREW,DJ Magic Mike,43.5
2 LIVE CREW,Gucci Crew II,43
2 LIVE CREW,DJ Jazzy Jeff & The Fresh Prince,55
2 LIVE CREW,The D.O.C.,50
2 LIVE CREW,Heavy D & The Boyz,52.5
2 LIVE CREW,69 Boyz,47.5
2 LIVE CREW,Kris Kross,53.5
2 LIVE CREW,Big Daddy Kane,54.5
2 LIVE CREW,Rob Base & DJ EZ Rock,52
2NE1,f(x),59.5
2NE1,miss A,57
2NE1,G-DRAGON,63.5
2NE1,G.NA,53
2NE1,4Minute,59
2NE1,Girl's Day,56.5
2NE1,Brown Eyed Girls,55
2NE1,TEEN TOP,54.5
2NE1,MBLAQ,53
2NE1,SISTAR,59.5
2NE1,KARA,66.5
2NE1,T-ARA,59
2NE1,Wonder Girls,58
2NE1,After School,55
2NE1,GD&TOP,54.5
2NE1,Orange Caramel,53.5
2NE1,Secret,62.5
2NE1,Beast,67
2NE1,Dalshabet,49
2NE1,Jay Park,67.5
2:00 PM,MBLAQ,53.5
2:00 PM,SHINee,65
2:00 PM,SUPER JUNIOR,64
2:00 PM,TEEN TOP,55
2:00 PM,G-DRAGON,63
2:00 PM,TVXQ!,59.5
2:00 PM,CNBLUE,58
2:00 PM,FTISLAND,57
2:00 PM,Beast,65.5
2:00 PM,f(x),59
2:00 PM,2NE1,60.5
2:00 PM,U-KISS,54
2:00 PM,SS501,58
2:00 PM,G.NA,52.5
2:00 PM,miss A,55.5
2:00 PM,B1A4,56
2:00 PM,GD&TOP,54
2:00 PM,Wonder Girls,57.5
2:00 PM,2:00 AM,48
2:00 PM,SEUNGRI,60
2:00 AM,Hoodie Allen,49.5
2:00 AM,The Dean's List,35
2:00 AM,Chiddy Bang,47
2:00 AM,Shwayze,47.5
2:00 AM,Sammy Adams,47.5
2:00 AM,Radical Something,37.5
2:00 AM,Outasight,40.5
2:00 AM,Moosh & Twist,40.5
2:00 AM,Huey Mack,40.5
2:00 AM,Skizzy Mars,48.5
2:00 AM,Luke Christopher,46
2:00 AM,Aer,58
2:00 AM,Cam Meekins,44
2:00 AM,Jules Larson,34
2:00 AM,Mike Posner,56
2:00 AM,YONAS,43
2:00 AM,Jake Miller,50.5
2:00 AM,Marc E. Bassy,53.5
2:00 AM,Katie Herzig,42.5
2:00 AM,TYLERxCORDY,39
2gaudy,Brandon ThaKidd,48.5
2gaudy,Jbrisko,50
2gaudy,Blaine,47.5
2gaudy,Curly J,50
2gaudy,404vincent,49
2gaudy,Kevin Powers,49.5
2gaudy,Thekidszn,53
2gaudy,BrxkenBxy,51
2gaudy,Godwin,24
2gaudy,Lil Shock,47.5
2gaudy,Tommy Ice,24
2gaudy,Bri-C,54
2gaudy,Lil Story,24
2gaudy,Rozei,24
2gaudy,Dustystaytrue,54
2gaudy,Badda TD,24
2gaudy,6o,49.5
2gaudy,Billy Bueffer,50.5
2gaudy,Lxst,57.5
2gaudy,Unodavid,51
3rd Bass,Special Ed,41
3rd Bass,Stetsasonic,18.5
3rd Bass,Nice & Smooth,42
3rd Bass,Kool Moe Dee,52
3rd Bass,Leaders of the New School,18.5
3rd Bass,Schoolly D,18.5
3rd Bass,Biz Markie,49
3rd Bass,Digital Underground,54
3rd Bass,Mc Shan,18.5
3rd Bass,Boogie Down Productions,42
3rd Bass,Black Sheep,48
3rd Bass,MC Serch,18.5
3rd Bass,Big Daddy Kane,48.5
3rd Bass,Marley Marl,18.5
3rd Bass,FU-Schnickens,38
3rd Bass,Jungle Brothers,46.5
3rd Bass,Chubb Rock,18.5
3rd Bass,Ultramagnetic MC's,37
3rd Bass,Audio Two,18.5
3rd Bass,Kool G Rap & DJ Polo,38
404vincent,Curly J,49
404vincent,BrxkenBxy,50
404vincent,2gaudy,49
404vincent,Rozei,24
404vincent,Blaine,46.5
404vincent,Lil Story,24
404vincent,Thekidszn,52
404vincent,Jbrisko,49
404vincent,Kevin Powers,48.5
404vincent,Dustystaytrue,53
404vincent,Badda TD,24
404vincent,PmBata,24
404vincent,EGOVERT,24
404vincent,Brandon ThaKidd,47.5
404vincent,Lil Shock,47.5
404vincent,Tommy Ice,24
404vincent,Billy Bueffer,50.5
404vincent,YSB Tril,24
404vincent,7ru7h,51.5
404vincent,Lxst,57.5
4MEN,FLY TO THE SKY,22
4MEN,2:00 AM,41
4MEN,Kim Jong Kook,49
4MEN,SG Wannabe,22
4MEN,Kim Tae Woo,42
4MEN,K.Will,52
4MEN,Zia,22
4MEN,M.C the Max,22
4MEN,Monday Kiz,22
4MEN,Lee Seung Gi,45
4MEN,Kim Na Young,22
4MEN,Sohyang,22
4MEN,KCM,22
4MEN,Gummy,22
4MEN,Brown Eyes,22
4MEN,Kim Bum Soo,22
4MEN,Gavy NJ,22
4MEN,Mighty Mouth,22
4MEN,Sung Si Kyung,22
4MEN,MeloMance,22
4Minute,Girl's Day,55.5
4Minute,2NE1,59
4Minute,miss A,54
4Minute,G.NA,51
4Minute,SISTAR,58.5
4Minute,f(x),58.5
4Minute,KARA,63.5
4Minute,T-ARA,56
4Minute,Wonder Girls,57
4Minute,After School,54
4Minute,Orange Caramel,52.5
4Minute,Dalshabet,48
4Minute,Secret,59.5
4Minute,Brown Eyed Girls,54
4Minute,9MUSES,52
4Minute,HELLOVENUS,50.5
4Minute,FIESTAR,48.5
4Minute,LADIES' CODE,50.5
4Minute,TEEN TOP,52.5
4Minute,B1A4,53.5
69 Boyz,Freak Nasty,21
69 Boyz,Quad City DJ's,21
69 Boyz,2 LIVE CREW,47.5
69 Boyz,Sir Mix-A-Lot,50.5
69 Boyz,95 South,21
69 Boyz,Wreckx-N-Effect,44.5
69 Boyz,MC Hammer,52.5
69 Boyz,Kris Kross,49
69 Boyz,K7,21
69 Boyz,DJ Magic Mike,39
69 Boyz,Dj Laz,21
69 Boyz,Gucci Crew II,37.5
69 Boyz,Splack Pack,21
69 Boyz,Poison Clan,36
69 Boyz,Rob Base & DJ EZ Rock,46.5
69 Boyz,Tone-Loc,47.5
69 Boyz,M.C. Shy-D,21
69 Boyz,Heavy D & The Boyz,48
69 Boyz,Salt-N-Pepa,54
69 Boyz,Vanilla Ice,52
6o,ryster,50
6o,7ru7h,54
6o,Billy Bueffer,53
6o,Bri-C,54.5
6o,LOVEONFRIDAY,24.5
6o,Jared Anthony,24.5
6o,Nick Bonin,24.5
6o,Loser,24.5
6o,Lxst,58
6o,Rocstaryoshi,24.5
6o,Yung Trench,24.5
6o,Unodavid,52.5
6o,Andrew Spacey,24.5
6o,2gaudy,49.5
6o,Lil Story,24.5
6o,Tommy Ice,24.5
6o,Memoria XI,50.5
6o,Thekidszn,52.5
6o,Mathias.,24.5
6o,Yung Divide,24.5
7ru7h,Billy Bueffer,55
7ru7h,6o,54
7ru7h,Lxst,60
7ru7h,Jared Anthony,26.5
7ru7h,Unodavid,54.5
7ru7h,ryster,52
7ru7h,Nick Bonin,26.5
7ru7h,Bri-C,56.5
7ru7h,Memoria XI,52.5
7ru7h,Thekidszn,54.5
7ru7h,Tommy Ice,26.5
7ru7h,Kevin Powers,51
7ru7h,Loser,26.5
7ru7h,2gaudy,51.5
7ru7h,Andrew Spacey,26.5
7ru7h,Yung Trench,26.5
7ru7h,Brandon ThaKidd,50
7ru7h,Rozei,26.5
7ru7h,Miles Wesley,26.5
7ru7h,Rocstaryoshi,26.5
9MUSES,Girl's Day,49.5
9MUSES,FIESTAR,42.5
9MUSES,HELLOVENUS,44.5
9MUSES,SISTAR,52.5
9MUSES,After School,48
9MUSES,miss A,48
9MUSES,G.NA,45
9MUSES,Orange Caramel,46.5
9MUSES,Secret,53.5
9MUSES,Dalshabet,42
9MUSES,T-ARA,50
9MUSES,BESTie,40
9MUSES,f(x),52.5
9MUSES,Song Ji Eun,45
9MUSES,Stellar,56
9MUSES,Chocolat,53
9MUSES,Ji Yeon,40.5
9MUSES,LADIES' CODE,44.5
9MUSES,4Minute,52
9MUSES,Apink,55.5
A Tribe Called Quest,The Pharcyde,67.5
A Tribe Called Quest,De La Soul,67.5
A Tribe Called Quest,Digable Planets,64
A Tribe Called Quest,Gang Starr,71.5
A Tribe Called Quest,Q-Tip,69.5
A Tribe Called Quest,Mos Def,73.5
A Tribe Called Quest,Eric B. & Rakim,69.5
A Tribe Called Quest,Souls Of Mischief,65.5
A Tribe Called Quest,The Roots,70.5
A Tribe Called Quest,Black Star,63
A Tribe Called Quest,Slick Rick,71
A Tribe Called Quest,Pete Rock & C.L. Smooth,62.5
A Tribe Called Quest,Del The Funky Homosapien,63.5
A Tribe Called Quest,Jeru The Damaja,62.5
A Tribe Called Quest,Pete Rock,66
A Tribe Called Quest,KMD,58.5
A Tribe Called Quest,Jurassic 5,66
A Tribe Called Quest,People Under The Stairs,64
A Tribe Called Quest,Guru,64
A Tribe Called Quest,Black Sheep,60
AILEE,SISTAR,61
AILEE,Girl's Day,58
AILEE,9MUSES,54.5
AILEE,BTOB,64.5
AILEE,Apink,64
AILEE,G.NA,54.5
AILEE,miss A,57.5
AILEE,f(x),61
AILEE,2NE1,62.5
AILEE,EXID,61
AILEE,Secret,63
AILEE,T-ARA,59.5
AILEE,HELLOVENUS,53
AILEE,B1A4,57
AILEE,4Minute,60.5
AILEE,TEEN TOP,56
AILEE,Orange Caramel,55
AILEE,After School,56.5
AILEE,DAVICHI,31
AILEE,Brown Eyed Girls,56.5
AZIATIX,B1A4,41.5
AZIATIX,TEEN TOP,40.5
AZIATIX,U-KISS,39.5
AZIATIX,Ledapple,30.5
AZIATIX,MYNAME,31
AZIATIX,M.I.B,27.5
AZIATIX,G.NA,39
AZIATIX,BTOB,49
AZIATIX,Tablo,43.5
AZIATIX,MBLAQ,39
AZIATIX,SISTAR,45.5
AZIATIX,Jay Park,54.5
AZIATIX,2NE1,47
AZIATIX,G-DRAGON,50.5
AZIATIX,CNBLUE,43.5
AZIATIX,GD&TOP,41.5
AZIATIX,NS Yoon-G,15.5
AZIATIX,AILEE,48.5
AZIATIX,Mighty Mouth,15.5
AZIATIX,SEUNGRI,46.5
Aceyalone,Haiku D'Etat,21
Aceyalone,Hieroglyphics,47.5
Aceyalone,Freestyle Fellowship,40.5
Aceyalone,Gift Of Gab,21
Aceyalone,Mr. Lif,21
Aceyalone,Lyrics Born,45.5
Aceyalone,Latyrx,21
Aceyalone,The Grouch,21
Aceyalone,Abstract Rude,21
Aceyalone,Pep Love,21
Aceyalone,Visionaries,21
Aceyalone,Soul Position,21
Aceyalone,Blackalicious,49.5
Aceyalone,Del The Funky Homosapien,52
Aceyalone,Sunspot Jonz,21
Aceyalone,Casual,21
Aceyalone,Zion I,21
Aceyalone,Eligh,21
Aceyalone,Living Legends,21
Aceyalone,Binary Star,43.5
