From Artist,To Artist,Weight
5 Seconds of Summer,ZAYN,84.5
5 Seconds of Summer,Liam Payne,77.5
5 Seconds of Summer,Louis Tomlinson,78
5 Seconds of Summer,Niall Horan,82.5
5 Seconds of Summer,The Vamps,83.5
5 Seconds of Summer,Fifth Harmony,80.5
5 Seconds of Summer,One Direction,87
5 Seconds of Summer,Big Time Rush,80
5 Seconds of Summer,Hot Chelle Rae,74.5
5 Seconds of Summer,Jonas Brothers,86
5 Seconds of Summer,Hailee Steinfeld,80
5 Seconds of Summer,Demi Lovato,84.5
5 Seconds of Summer,Nick Jonas,77
5 Seconds of Summer,Julia Michaels,83
5 Seconds of Summer,Madison Beer,82
5 Seconds of Summer,DNCE,79.5
5 Seconds of Summer,THE DRIVER ERA,73.5
5 Seconds of Summer,Waterparks,75
5 Seconds of Summer,Olivia O'Brien,79.5
5 Seconds of Summer,New Hope Club,73
702,Lil' Mo,27
702,Faith Evans,65
702,Monifah,27
702,Xscape,27
702,Changing Faces,27
702,SWV,27
702,Adina Howard,27
702,Blaque,27
702,Tamia,27
702,Nivea,27
702,Brownstone,27
702,Soul For Real,27
702,Monica,27
702,KeKe Wyatt,27
702,Case,27
702,Kelly Price,27
702,Tweet,60.5
702,H-Town,27
702,Jon B.,27
702,Total,27
ABRA,Avery Lynch,64
ABRA,Lexi Jayde,35.5
ABRA,Sody,69
ABRA,Alexander 23,72
ABRA,ROSIE,66.5
ABRA,ella jane,35.5
ABRA,Sara Kays,71
ABRA,Lizzy McAlpine,35.5
ABRA,Lennon Stella,35.5
ABRA,Maude Latour,35.5
ABRA,Holly Humberstone,35.5
ABRA,Maisie Peters,35.5
ABRA,Tommy Lefroy,35.5
ABRA,Luz,68
ABRA,Blake Rose,69.5
ABRA,Catie Turner,35.5
ABRA,FLETCHER,72.5
ABRA,Clara Mae,70
ABRA,Sasha Alex Sloan,76
ABRA,SHY Martin,35.5
AJ Mitchell,Why Don't We,76
AJ Mitchell,Alexander Stewart,66
AJ Mitchell,Ruel,71.5
AJ Mitchell,PRETTYMUCH,68
AJ Mitchell,Jack & Jack,73.5
AJ Mitchell,In Real Life,54.5
AJ Mitchell,New Hope Club,64
AJ Mitchell,HRVY,69
AJ Mitchell,Alex Aiono,62.5
AJ Mitchell,Fly By Midnight,68.5
AJ Mitchell,Anna Clendening,66.5
AJ Mitchell,Boy In Space,67.5
AJ Mitchell,Alec Benjamin,77
AJ Mitchell,Etham,65.5
AJ Mitchell,Charlotte Lawrence,70
AJ Mitchell,Sasha Alex Sloan,73
AJ Mitchell,Clara Mae,72
AJ Mitchell,Carlie Hanson,66
AJ Mitchell,John K,72.5
AJ Mitchell,Elina,66
ALO,Cat Dealers,41
ALO,Sevenn,41
ALO,Dubdogz,41
ALO,KVSH,41
ALO,Zeeba,41
ALO,Vintage Culture,41
ALO,Mc Don Juan,41
ALO,MC Kevinho,41
ALO,Jetlag Music,41
ALO,Bhaskar,41
ALO,Bruno Martini,41
ALO,Liu,41
ALO,JØRD,41
ALO,Chemical Surf,41
ALO,Mc Livinho,41
ALO,DENNIS,41
ALO,illusionize,41
ALO,Vitor Kley,41
ALO,PEDRO SAMPAIO,41
ALO,Groove Delight,41
