From Artist,To Artist,Weight
'68,Jason Demarco,34.5
'68,DJ Noiz,34.5
'68,Jubël,34.5
'68,Vice,34.5
'68,HRVY,34.5
'68,Victor J Sefo,34.5
'68,John De Sohn,34.5
'68,Jaro Local,34.5
'68,BIGPP,34.5
'68,Eduardo Luzquiños,34.5
'68,Stan Walker,34.5
'68,NELZ,34.5
'68,Drax Project,34.5
'68,Sons Of Zion,34.5
'68,NOTD,34.5
'68,Sam Feldt,34.5
'68,Spawnbreezie,34.5
'68,Tomorrow People,34.5
'68,Swiss,34.5
'68,Nesian Mystik,34.5
(Hed) P.E.,Primer 55,52.5
(Hed) P.E.,Snot,53.0
(Hed) P.E.,Insolence,43.5
(Hed) P.E.,One Minute Silence,50.0
(Hed) P.E.,American Head Charge,50.0
(Hed) P.E.,Methods of Mayhem,47.5
(Hed) P.E.,Coal Chamber,56.0
(Hed) P.E.,Spineshank,53.0
(Hed) P.E.,Crazy Town,61.0
(Hed) P.E.,Skindred,55.5
(Hed) P.E.,Stuck Mojo,46.0
(Hed) P.E.,40 Below Summer,49.0
(Hed) P.E.,Nothingface,49.0
(Hed) P.E.,The Union Underground,54.0
(Hed) P.E.,Dirty Wormz,47.5
(Hed) P.E.,Dry Kill Logic,51.5
(Hed) P.E.,Flaw,55.5
(Hed) P.E.,Big B,69.5
(Hed) P.E.,Powerman 5000,57.5
(Hed) P.E.,Kottonmouth Kings,54.0
.sPout.,Project Wyze,17.5
.sPout.,The Kennedy Soundtrack,12.5
.sPout.,Dreadlock Pussy,13.0
.sPout.,Five Foot Thick,14.0
.sPout.,Shuvel,12.5
.sPout.,Darwin's Waiting Room,17.0
.sPout.,Insolence,21.5
.sPout.,Bionic Jive,20.5
.sPout.,Number One Son,11.5
.sPout.,Genuflect,14.5
.sPout.,9th Corner,5.0
.sPout.,Sunbomb,5.0
.sPout.,Shootyz Groove,16.0
.sPout.,Critical Bill,14.0
.sPout.,Presence,31.5
.sPout.,Headplate,16.5
.sPout.,Borialis,21.0
.sPout.,Headcrash,5.0
.sPout.,Dirty Wormz,25.5
.sPout.,Jacks Of All Trades,5.0
10 Years,Earshot,57.0
10 Years,Crossfade,62.0
10 Years,12 Stones,61.0
10 Years,TRUSTcompany,59.5
10 Years,Ra,77.5
10 Years,Smile Empty Soul,62.5
10 Years,Cold,77.5
10 Years,Evans Blue,58.5
10 Years,Submersed,54.5
10 Years,Default,60.0
10 Years,Trapt,64.0
10 Years,Chevelle,69.0
10 Years,Fuel,64.0
10 Years,Seether,68.5
10 Years,Sick Puppies,67.5
10 Years,The Exies,56.0
10 Years,Egypt Central,62.5
10 Years,Finger Eleven,64.0
10 Years,Tantric,58.0
10 Years,Rev Theory,64.5
100 Demons,All Out War,32.5
100 Demons,Ramallah,31.0
100 Demons,Death Threat,31.5
100 Demons,Ringworm,15.0
100 Demons,Skarhead,32.0
100 Demons,Wisdom In Chains,32.5
100 Demons,Merauder,31.5
100 Demons,Buried Alive,15.0
100 Demons,Cold As Life,15.0
100 Demons,25 Ta Life,31.0
100 Demons,Subzero,15.0
100 Demons,Fury Of Five,15.0
100 Demons,E-Town Concrete,32.0
