From Artist,To Artist,Weight
$NOT,Lil Gnar,70
$NOT,Kid Trunks,67.5
$NOT,Craig Xen,70.5
$NOT,Comethazine,74.5
$NOT,Bass Santana,39
$NOT,Joey Trap,69
$NOT,Xavier Wulf,76.5
$NOT,Tay-K,39
$NOT,Fukkit,68.5
$NOT,Cooliecut,70
$NOT,Yung Pinch,71.5
$NOT,Night Lovell,39
$NOT,Yung Bans,73
$NOT,YBN Nahmir,76
$NOT,Pouya,39
$NOT,Fat Nick,69.5
$NOT,Lil Tracy,39
$NOT,ilyTOMMY,39
$NOT,DJ Scheme,74
$NOT,Wifisfuneral,71
1Huntxr,Donald Ganim,49
1Huntxr,Maitchh,54.5
1Huntxr,Xelatto,25
1Huntxr,Faxugoin,25
1Huntxr,JonSalen,53.5
1Huntxr,itsnot.theis,25
1Huntxr,boiwhatdahellboi,25
1Huntxr,Squish,53.5
1Huntxr,Snippers,25.5
1Huntxr,lil asepit,42.5
1Huntxr,Aaron1400,25
1Huntxr,Fly Rassa,25
1Huntxr,LonnyRecords,45
1Huntxr,Ninow Cash,45
1Huntxr,Spacings,25
1Huntxr,shmara,25
1Huntxr,Lil Man 58,25
1Huntxr,Vibotine,45.5
1Huntxr,Lera Ventau,45
1Huntxr,9lokkss,25
24hrs,Ramriddlz,30
24hrs,Roy Woods,64
24hrs,Baka Not Nice,30
24hrs,Zoey Dollaz,30
24hrs,Kap G,30
24hrs,88GLAM,61.5
24hrs,Smooky MarGielaa,30
24hrs,K. Forest,30
24hrs,Nebu Kiniza,60.5
24hrs,PnB Rock,68.5
24hrs,Kodie Shane,30
24hrs,Reese LAFLARE,30
24hrs,Ye Ali,30
24hrs,SAFE,30
24hrs,Vory,64
24hrs,Preme,30
24hrs,TYuS,30
24hrs,Swae Lee,71.5
24hrs,TK Kravitz,30
24hrs,Quentin Miller,30
24kGoldn,POORSTACY,72.5
24kGoldn,iann dior,83
24kGoldn,Lil Tecca,81.5
24kGoldn,jxdn,76
24kGoldn,Trevor Daniel,76.5
24kGoldn,Arizona Zervas,76.5
24kGoldn,Bankrol Hayden,75.5
24kGoldn,Tyla Yaweh,75.5
24kGoldn,Internet Money,80
24kGoldn,Lil Mosey,79
24kGoldn,KillBunk,73.5
24kGoldn,Flipp Dinero,74
24kGoldn,Landon Cube,74
24kGoldn,Dro Kenji,73
24kGoldn,Yung Pinch,72.5
24kGoldn,Lil Gnar,71
24kGoldn,benny blanco,80
24kGoldn,mike.,78.5
24kGoldn,Rarin,72.5
24kGoldn,KYLE,77.5
2KBABY,YSN Flow,57
2KBABY,T9ine,30.5
2KBABY,Scorey,63.5
2KBABY,Calboy,63.5
2KBABY,Justin Rarri,30.5
2KBABY,Dee Watkins,61
2KBABY,Melvoni,30.5
2KBABY,Slatt Zy,30.5
2KBABY,Taleban Dooda,30.5
2KBABY,Fresco Trey,30.5
2KBABY,TOB Duke,30.5
2KBABY,Deadskies,30.5
2KBABY,Grind2hard Osh’a,30.5
2KBABY,Jackboy,30.5
2KBABY,Lil Zay Osama,30.5
2KBABY,Hotboii,30.5
2KBABY,Stunna Gambino,30.5
2KBABY,Yungeen Ace,30.5
2KBABY,Quin Nfn,30.5
2KBABY,Lil Poppa,30.5
2gaudy,Brandon ThaKidd,48.5
2gaudy,Jbrisko,50
2gaudy,Blaine,24
2gaudy,Curly J,50
2gaudy,404vincent,49
2gaudy,Kevin Powers,49.5
2gaudy,Thekidszn,53
2gaudy,BrxkenBxy,51
2gaudy,Godwin,24
2gaudy,Lil Shock,47.5
2gaudy,Tommy Ice,55
2gaudy,Bri-C,24
2gaudy,Lil Story,24
2gaudy,Rozei,24
2gaudy,Dustystaytrue,54
2gaudy,Badda TD,24
2gaudy,6o,24
2gaudy,Billy Bueffer,24
2gaudy,Lxst,57.5
2gaudy,Unodavid,51
365 Deathlove,Fly Rassa,18.5
365 Deathlove,Xelatto,18.5
365 Deathlove,Lera Ventau,38.5
365 Deathlove,Snippers,19
365 Deathlove,Aaron1400,18.5
365 Deathlove,Waklopsa,18.5
