From Artist,To Artist,Weight
600 Breezy,La Capone,19
600 Breezy,DJ Lucky L,33.5
600 Breezy,Rondonumbanine,43
600 Breezy,S.dot,43
600 Breezy,Team600,19
600 Breezy,GMEBE Bandz,19
600 Breezy,Rico Recklezz,39.5
600 Breezy,DJ 45,19
600 Breezy,Taysav,39.5
600 Breezy,Billionaire Black,41
600 Breezy,Jusblow,19
600 Breezy,Prince Dre,50
600 Breezy,Rocaine,19
600 Breezy,Edai,19
600 Breezy,Tay 600,19
600 Breezy,Booka600,19
600 Breezy,Tadoe,19
600 Breezy,Smylez,19
600 Breezy,P.Rico,19
600 Breezy,King Yella,19
A Beacon School,Ruby Haunt,46
A Beacon School,Launder,39
A Beacon School,Orchid Mantis,43
A Beacon School,Horsebeach,39
A Beacon School,Acid Ghost,48.5
A Beacon School,CASTLEBEAT,50.5
A Beacon School,RICEWINE,46.5
A Beacon School,Slow Pulp,47.5
A Beacon School,Surf Rock Is Dead,41
A Beacon School,FLOOR CRY,47
A Beacon School,Barrie,55
A Beacon School,Balue,39.5
A Beacon School,You'll Never Get to Heaven,21.5
A Beacon School,Hazel English,46.5
A Beacon School,Foliage,37.5
A Beacon School,Fog Lake,47.5
A Beacon School,Sunbeam Sound Machine,46
A Beacon School,MUNYA,46.5
A Beacon School,No Vacation,53
A Beacon School,Hibou,43
ARTHUR,Calum Scott,41
ARTHUR,James TW,41
ARTHUR,James Smith,41
ARTHUR,Lewis Capaldi,41
ARTHUR,Dean Lewis,41
ARTHUR,James Bay,41
ARTHUR,Gavin James,41
ARTHUR,Niall Horan,41
ARTHUR,JP Cooper,41
ARTHUR,The Script,41
ARTHUR,JP Saxe,41
ARTHUR,Ella Henderson,41
ARTHUR,Rhys Lewis,41
ARTHUR,Conor Maynard,41
ARTHUR,Sam Fischer,41
ARTHUR,Anson Seabra,41
ARTHUR,AJ Mitchell,41
ARTHUR,Jess Glynne,41
ARTHUR,Clinton Kane,79
ARTHUR,Birdy,41
Abraham Mateo,Carlos Baute,67
Abraham Mateo,Dvicio,32.5
Abraham Mateo,Cepeda,32.5
Abraham Mateo,Juan Magán,71
Abraham Mateo,Danny Romero,64.5
Abraham Mateo,Cali Y El Dandee,72
Abraham Mateo,Antonio José,32.5
Abraham Mateo,Xriz,59
Abraham Mateo,Chyno Miranda,32.5
Abraham Mateo,David Bisbal,32.5
Abraham Mateo,Nacho,32.5
Abraham Mateo,Mario Bautista,32.5
Abraham Mateo,Efecto Pasillo,63.5
Abraham Mateo,Beret,32.5
Abraham Mateo,Sofía Reyes,32.5
Abraham Mateo,Ventino,32.5
Abraham Mateo,Auryn,32.5
Abraham Mateo,Critika y Saik,32.5
Abraham Mateo,Kiko Rivera,32.5
Abraham Mateo,Pablo Alborán,32.5
Acid Ghost,CASTLEBEAT,54
Acid Ghost,Blonde Tongues,42.5
Acid Ghost,Orchid Mantis,47.5
Acid Ghost,Dream Ivory,56.5
Acid Ghost,Ruby Haunt,50.5
Acid Ghost,Fog Lake,52
Acid Ghost,Fox Academy,55.5
Acid Ghost,Johnny Goth,53.5
Acid Ghost,A Beacon School,48.5
Acid Ghost,Harmless,59.5
Acid Ghost,Tyler Burkhart,45
Acid Ghost,FLOOR CRY,52.5
