From Artist,To Artist,Weight
5 Seconds of Summer,ZAYN,84.5
5 Seconds of Summer,Liam Payne,77.5
5 Seconds of Summer,Louis Tomlinson,78
5 Seconds of Summer,Niall Horan,82.5
5 Seconds of Summer,The Vamps,83.5
5 Seconds of Summer,Fifth Harmony,80.5
5 Seconds of Summer,One Direction,87
5 Seconds of Summer,Big Time Rush,80.5
5 Seconds of Summer,Hot Chelle Rae,74.5
5 Seconds of Summer,Jonas Brothers,86
5 Seconds of Summer,Hailee Steinfeld,80
5 Seconds of Summer,Demi Lovato,84.5
5 Seconds of Summer,Nick Jonas,77
5 Seconds of Summer,Julia Michaels,83
5 Seconds of Summer,Madison Beer,82
5 Seconds of Summer,DNCE,79.5
5 Seconds of Summer,THE DRIVER ERA,73.5
5 Seconds of Summer,Olivia O'Brien,80
5 Seconds of Summer,Waterparks,75
5 Seconds of Summer,New Hope Club,73
A Great Big World,American Authors,33.5
A Great Big World,Alex & Sierra,66.5
A Great Big World,BANNERS,33.5
A Great Big World,Parachute,33.5
A Great Big World,Phillip Phillips,33.5
A Great Big World,Christina Perri,33.5
A Great Big World,Wrabel,67
A Great Big World,Us The Duo,33.5
A Great Big World,Gabrielle Aplin,33.5
A Great Big World,Jon McLaughlin,33.5
A Great Big World,Matt Nathanson,33.5
A Great Big World,Gavin Mikhail,33.5
A Great Big World,Joy Williams,33.5
A Great Big World,Joshua Radin,33.5
A Great Big World,Ron Pope,33.5
A Great Big World,Hearts & Colors,33.5
A Great Big World,Eric Hutchinson,33.5
A Great Big World,Frances,67
A Great Big World,Sara Bareilles,33.5
A Great Big World,Ingrid Michaelson,33.5
AJ Mitchell,Why Don't We,76
AJ Mitchell,Alexander Stewart,66
AJ Mitchell,Ruel,71.5
AJ Mitchell,PRETTYMUCH,68.5
AJ Mitchell,Jack & Jack,73.5
AJ Mitchell,In Real Life,54.5
AJ Mitchell,New Hope Club,64
AJ Mitchell,HRVY,69
AJ Mitchell,Alex Aiono,62.5
AJ Mitchell,Fly By Midnight,68.5
AJ Mitchell,Anna Clendening,66.5
AJ Mitchell,Boy In Space,67.5
AJ Mitchell,Alec Benjamin,77
AJ Mitchell,Etham,65.5
AJ Mitchell,Charlotte Lawrence,70
AJ Mitchell,Sasha Alex Sloan,73
AJ Mitchell,Clara Mae,72
AJ Mitchell,Carlie Hanson,66
AJ Mitchell,Elina,66
AJ Mitchell,John K,72.5
ALO,Cat Dealers,41
ALO,Sevenn,41
ALO,Dubdogz,41
ALO,KVSH,41
ALO,Zeeba,41
ALO,Vintage Culture,41
ALO,Mc Don Juan,41
ALO,MC Kevinho,41
ALO,Jetlag Music,41
ALO,Bhaskar,41
ALO,Bruno Martini,41
ALO,Liu,41
ALO,JØRD,41
ALO,Mc Livinho,41
ALO,Chemical Surf,41
ALO,DENNIS,41
ALO,illusionize,41
ALO,Vitor Kley,41
ALO,PEDRO SAMPAIO,41
ALO,Groove Delight,41
ASTN,Souly Had,33
ASTN,Christian French,33
ASTN,Christian Kuria,33
ASTN,thuy,33
ASTN,Anthony Russo,33
ASTN,marcos g,33
ASTN,Hojean,33
ASTN,Kyle Dion,33
ASTN,Sway Bleu,33
ASTN,RINI,33
