From Artist,To Artist,Weight
(G)I-DLE,Hwa Sa,38.5
(G)I-DLE,Weki Meki,38.5
(G)I-DLE,LOONA,38.5
(G)I-DLE,JEON SOYEON,38.5
(G)I-DLE,MAMAMOO,38.5
(G)I-DLE,WJSN,38.5
(G)I-DLE,LOOΠΔ / ODD EYE CIRCLE,38.5
(G)I-DLE,TWICE,38.5
(G)I-DLE,fromis_9,38.5
(G)I-DLE,MOMOLAND,38.5
(G)I-DLE,I.O.I,38.5
(G)I-DLE,Solar,38.5
(G)I-DLE,PRISTIN V,38.5
(G)I-DLE,OH MY GIRL,38.5
(G)I-DLE,Moon Byul,38.5
(G)I-DLE,CLC,38.5
(G)I-DLE,Hyolyn,70.0
(G)I-DLE,EXID,69.5
(G)I-DLE,Red Velvet,81.0
(G)I-DLE,Whee In,38.5
1TYM,JINUSEAN,32.5
1TYM,Click-B,29.5
1TYM,Fin.K.L,34.0
1TYM,SE7EN,36.5
1TYM,H.O.T.,36.5
1TYM,YG Family,25.0
1TYM,Steve Yoo,27.5
1TYM,DJ DOC,35.0
1TYM,SECHSKIES,37.5
1TYM,Drunken Tiger,33.0
1TYM,DEUX,14.5
1TYM,JTL,27.5
1TYM,Realslow,14.5
1TYM,Roo'RA,14.5
1TYM,Baby VOX,14.5
1TYM,IVY,14.5
1TYM,Un,59.0
1TYM,god,14.5
1TYM,KOYOTE,30.5
1TYM,Seo Taiji and Boys,14.5
2 AM,Your Neighbors,21.0
2 AM,The Hails,21.0
2 AM,Besphrenz,21.0
2 AM,Ax and the Hatchetmen,21.0
2 AM,the moss,21.0
2 AM,Arlie,21.0
2 AM,Sarah and the Sundays,21.0
2 AM,The Polar Boys,21.0
2 AM,Bennett Coast,21.0
2 AM,Blue Rain Boots,21.0
2 AM,Phoneboy,21.0
2 AM,Grady,21.0
2 AM,Tommy Newport,21.0
2 AM,French Cassettes,21.0
2 AM,Conan Gentil,21.0
2 AM,Baltazar Lora,21.0
2 AM,Sun Room,21.0
2 AM,Vista Kicks,21.0
2 AM,The Grinns,21.0
2 AM,Breakup Shoes,21.0
2 LIVE CREW,Sir Mix-A-Lot,55.0
2 LIVE CREW,Digital Underground,56.0
2 LIVE CREW,ICE-T,56.5
2 LIVE CREW,Kool Moe Dee,54.0
2 LIVE CREW,Whodini,49.5
2 LIVE CREW,MC Hammer,57.0
2 LIVE CREW,Tone-Loc,52.0
2 LIVE CREW,Boogie Down Productions,49.0
2 LIVE CREW,Fat Boys,46.5
2 LIVE CREW,Run–D.M.C.,60.0
2 LIVE CREW,Poison Clan,41.5
2 LIVE CREW,DJ Magic Mike,44.5
2 LIVE CREW,Gucci Crew II,43.0
2 LIVE CREW,The D.O.C.,50.0
2 LIVE CREW,DJ Jazzy Jeff & The Fresh Prince,55.0
2 LIVE CREW,Heavy D & The Boyz,52.5
2 LIVE CREW,69 Boyz,47.5
2 LIVE CREW,Kris Kross,53.5
2 LIVE CREW,Big Daddy Kane,54.5
2 LIVE CREW,Rob Base & DJ EZ Rock,52.0
2NE1,f(x),60.0
2NE1,miss A,57.5
2NE1,G-DRAGON,64.0
2NE1,G.NA,53.5
2NE1,4Minute,59.5
2NE1,Girl's Day,57.0
2NE1,Brown Eyed Girls,55.5
2NE1,TEEN TOP,55.0
2NE1,MBLAQ,53.5
2NE1,SISTAR,60.0
2NE1,KARA,67.0
2NE1,T-ARA,59.5
2NE1,Wonder Girls,58.5
2NE1,After School,55.5
2NE1,GD&TOP,55.0
2NE1,Orange Caramel,54.0
2NE1,Secret,63.0
2NE1,Beast,67.5
2NE1,Dalshabet,50.0
2NE1,Jay Park,68.0
2PM,MBLAQ,53.5
2PM,SHINee,65.0
2PM,SUPER JUNIOR,63.5
2PM,TEEN TOP,55.0
2PM,G-DRAGON,63.0
2PM,TVXQ!,59.5
2PM,CNBLUE,58.0
2PM,FTISLAND,57.0
2PM,Beast,65.5
2PM,f(x),59.0
2PM,2NE1,61.0
2PM,U-KISS,54.0
2PM,SS501,58.0
2PM,G.NA,52.5
2PM,miss A,55.5
2PM,B1A4,56.0
2PM,GD&TOP,54.0
2PM,2am,48.0
2PM,Wonder Girls,57.5
2PM,SEUNGRI,60.0
2am,Hoodie Allen,49.5
2am,The Dean's List,35.0
2am,Chiddy Bang,47.0
2am,Shwayze,47.5
2am,Sammy Adams,47.5
2am,Radical Something,37.5
2am,Outasight,40.5
2am,Moosh & Twist,40.5
2am,Huey Mack,40.5
2am,Skizzy Mars,48.5
2am,Luke Christopher,46.0
2am,Cam Meekins,44.0
2am,Aer,58.0
2am,Jules Larson,34.0
2am,Mike Posner,56.0
2am,YONAS,43.0
2am,Jake Miller,50.5
2am,Marc E. Bassy,53.5
2am,Katie Herzig,42.5
2am,TYLERxCORDY,39.0
2gaudy,Brandon ThaKidd,48.5
2gaudy,Jbrisko,50.0
2gaudy,Blaine,47.5
2gaudy,Curly J,50.0
2gaudy,404vincent,49.0
2gaudy,Kevin Powers,49.5
2gaudy,Thekidszn,53.0
2gaudy,BrxkenBxy,51.0
2gaudy,Lil Shock,47.5
2gaudy,Godwin,24.0
2gaudy,Tommy Ice,24.0
2gaudy,Bri-C,54.0
2gaudy,Lil Story,24.0
2gaudy,Rozei,24.0
2gaudy,Dustystaytrue,54.5
2gaudy,Badda TD,24.0
2gaudy,6o,49.5
2gaudy,Billy Bueffer,50.5
2gaudy,Lxst,57.5
2gaudy,Unodavid,51.0
2xxx,millic,38.0
2xxx,PENOMECO,50.5
2xxx,jeebanoff,45.5
2xxx,Hash Swan,44.5
2xxx,Sik-K,53.5
2xxx,WOOGIE,42.5
2xxx,Kid Milli,48.0
2xxx,Swings,44.0
2xxx,Samuel Seo,20.0
2xxx,Colde,51.0
2xxx,NO:EL,44.0
2xxx,Jooyoung,47.5
2xxx,"Car, the garden",20.0
2xxx,Hoody,51.0
2xxx,nafla,46.5
2xxx,Woodie Gochild,47.0
2xxx,CRUCiAL STAR,46.0
2xxx,Gaeko,51.0
2xxx,SAAY,44.0
2xxx,LambC,45.5
311,Long Beach Dub Allstars,32.5
311,Sublime,32.5
311,The Expendables,32.5
311,Pepper,32.5
311,Sugar Ray,68.0
311,Ballyhoo!,32.5
311,Slightly Stoopid,32.5
311,Sublime With Rome,32.5
311,Dirty Heads,32.5
311,Bumpin Uglies,32.5
311,Iration,32.5
311,Passafire,32.5
311,The Holdup,32.5
311,Rebelution,32.5
311,Stick Figure,32.5
311,The Urge,32.5
311,Marcy Playground,63.0
311,Everclear,67.5
311,The Presidents Of The United States Of America,66.0
311,The Movement,32.5
3rd Bass,Special Ed,41.0
3rd Bass,Stetsasonic,18.5
3rd Bass,Nice & Smooth,42.0
3rd Bass,Kool Moe Dee,52.0
3rd Bass,Leaders of the New School,18.5
3rd Bass,Schoolly D,18.5
3rd Bass,Biz Markie,49.0
3rd Bass,Digital Underground,54.0
3rd Bass,Mc Shan,18.5
3rd Bass,Boogie Down Productions,42.0
3rd Bass,Black Sheep,48.0
3rd Bass,MC Serch,18.5
3rd Bass,Big Daddy Kane,48.5
3rd Bass,Marley Marl,18.5
3rd Bass,FU-Schnickens,38.0
3rd Bass,Jungle Brothers,46.5
3rd Bass,Chubb Rock,18.5
3rd Bass,Ultramagnetic MC's,37.0
3rd Bass,Audio Two,18.5
3rd Bass,Kool G Rap & DJ Polo,38.0
404vincent,Curly J,49.0
404vincent,BrxkenBxy,50.0
404vincent,2gaudy,49.0
404vincent,Rozei,24.0
404vincent,Blaine,46.5
404vincent,Lil Story,24.0
404vincent,Thekidszn,52.0
404vincent,Jbrisko,49.0
404vincent,Kevin Powers,48.5
404vincent,Dustystaytrue,53.5
404vincent,Badda TD,24.0
404vincent,PmBata,24.0
404vincent,EGOVERT,24.0
404vincent,Brandon ThaKidd,47.5
404vincent,Lil Shock,47.5
404vincent,Tommy Ice,24.0
404vincent,Billy Bueffer,50.5
404vincent,YSB Tril,24.0
404vincent,7ru7h,51.5
404vincent,Lxst,57.5
4Minute,Girl's Day,55.5
4Minute,2NE1,59.5
4Minute,miss A,54.0
4Minute,G.NA,51.0
4Minute,SISTAR,58.5
4Minute,f(x),58.5
4Minute,KARA,63.5
4Minute,T-ARA,56.0
4Minute,Wonder Girls,57.0
4Minute,After School,54.0
4Minute,Orange Caramel,52.5
4Minute,Dalshabet,48.5
4Minute,Secret,59.5
4Minute,Brown Eyed Girls,54.0
4Minute,9MUSES,52.0
4Minute,HELLOVENUS,50.5
4Minute,FIESTAR,48.5
4Minute,LADIES' CODE,50.5
4Minute,TEEN TOP,52.5
4Minute,B1A4,53.5
69 Boyz,Freak Nasty,21.0
69 Boyz,Quad City DJ's,21.0
69 Boyz,2 LIVE CREW,47.5
69 Boyz,Wreckx-N-Effect,44.5
69 Boyz,Sir Mix-A-Lot,50.5
69 Boyz,95 South,21.0
69 Boyz,Kris Kross,49.0
69 Boyz,MC Hammer,52.5
69 Boyz,K7,21.0
69 Boyz,DJ Magic Mike,39.0
69 Boyz,Dj Laz,21.0
69 Boyz,Gucci Crew II,37.5
69 Boyz,Splack Pack,21.0
69 Boyz,Poison Clan,36.0
69 Boyz,Rob Base & DJ EZ Rock,46.5
69 Boyz,Tone-Loc,47.5
69 Boyz,Heavy D & The Boyz,48.0
69 Boyz,M.C. Shy-D,21.0
69 Boyz,Salt-N-Pepa,54.0
69 Boyz,Vanilla Ice,52.0
6o,ryster,49.0
6o,7ru7h,54.0
6o,Billy Bueffer,53.0
6o,Bri-C,54.5
6o,LOVEONFRIDAY,24.5
6o,Jared Anthony,24.5
6o,Nick Bonin,24.5
6o,Loser,24.5
6o,Lxst,58.0
6o,Rocstaryoshi,24.5
6o,Yung Trench,24.5
6o,Unodavid,52.5
6o,2gaudy,49.5
6o,Andrew Spacey,24.5
6o,Lil Story,24.5
6o,Tommy Ice,24.5
6o,Memoria XI,50.5
6o,Mathias.,24.5
6o,Thekidszn,52.5
6o,Yung Divide,24.5
7ru7h,Billy Bueffer,55.0
7ru7h,6o,54.0
7ru7h,Lxst,60.0
7ru7h,Jared Anthony,26.5
7ru7h,Unodavid,54.5
7ru7h,ryster,51.0
7ru7h,Nick Bonin,26.5
7ru7h,Bri-C,56.5
7ru7h,Memoria XI,52.5
7ru7h,Thekidszn,54.5
7ru7h,Tommy Ice,26.5
7ru7h,Kevin Powers,51.0
7ru7h,Loser,26.5
7ru7h,2gaudy,51.5
7ru7h,Andrew Spacey,26.5
7ru7h,Yung Trench,26.5
7ru7h,Brandon ThaKidd,50.0
7ru7h,Rozei,26.5
7ru7h,Miles Wesley,26.5
7ru7h,Rocstaryoshi,26.5
808 State,The Shamen,49.0
808 State,Orbital,23.0
808 State,The Orb,23.0
808 State,LFO,23.0
808 State,Underworld,23.0
808 State,Renegade Soundwave,23.0
808 State,The Future Sound Of London,23.0
808 State,Meat Beat Manifesto,23.0
808 State,Bomb The Bass,23.0
808 State,B12,23.0
808 State,Fluke,23.0
808 State,sun electric,23.0
808 State,The Sabres Of Paradise,23.0
808 State,The KLF,23.0
808 State,System 7,23.0
808 State,Global Communication,23.0
808 State,The Black Dog,23.0
808 State,Altern 8,23.0
808 State,Plaid,23.0
808 State,µ-Ziq,23.0
9MUSES,Girl's Day,49.5
9MUSES,FIESTAR,42.5
9MUSES,HELLOVENUS,44.5
9MUSES,SISTAR,52.5
9MUSES,After School,48.0
9MUSES,miss A,48.0
9MUSES,G.NA,45.0
9MUSES,Orange Caramel,46.5
9MUSES,Secret,53.5
9MUSES,Dalshabet,42.5
9MUSES,T-ARA,50.0
9MUSES,BESTie,40.0
9MUSES,f(x),52.5
9MUSES,Song Ji Eun,45.0
9MUSES,Stellar,56.0
9MUSES,Chocolat,53.0
9MUSES,Ji Yeon,40.5
9MUSES,LADIES' CODE,44.5
9MUSES,4Minute,52.0
9MUSES,Apink,55.5
A Tribe Called Quest,The Pharcyde,67.5
A Tribe Called Quest,De La Soul,67.5
A Tribe Called Quest,Digable Planets,64.0
A Tribe Called Quest,Gang Starr,71.5
A Tribe Called Quest,Q-Tip,69.5
A Tribe Called Quest,Mos Def,73.5
A Tribe Called Quest,Eric B. & Rakim,69.5
A Tribe Called Quest,Souls Of Mischief,65.5
A Tribe Called Quest,Slick Rick,71.0
A Tribe Called Quest,The Roots,70.5
A Tribe Called Quest,Black Star,63.0
A Tribe Called Quest,Pete Rock & C.L. Smooth,62.5
A Tribe Called Quest,Del The Funky Homosapien,63.5
A Tribe Called Quest,Jeru The Damaja,62.5
A Tribe Called Quest,Jurassic 5,66.0
A Tribe Called Quest,Guru,64.0
A Tribe Called Quest,Pete Rock,66.0
A Tribe Called Quest,People Under The Stairs,64.0
A Tribe Called Quest,KMD,58.5
A Tribe Called Quest,Black Sheep,60.0
A.C.E,ONF,47.5
A.C.E,VICTON,58.5
A.C.E,SF9,59.0
A.C.E,THE BOYZ,61.0
A.C.E,N.Flying,57.0
A.C.E,UP10TION,49.5
A.C.E,VAV,52.0
A.C.E,Golden Child,55.0
A.C.E,IN2IT,43.5
A.C.E,IMFACT,46.0
A.C.E,ONEWE,56.0
A.C.E,The Rose,55.5
A.C.E,HotShot,45.0
A.C.E,JBJ,48.0
A.C.E,Monsta X,65.0
A.C.E,WONHO,58.0
A.C.E,PENTAGON,61.0
A.C.E,WOODZ,65.5
A.C.E,JOOHONEY,49.0
A.C.E,I.M,27.0
AILEE,SISTAR,61.0
AILEE,Girl's Day,58.0
AILEE,9MUSES,54.5
AILEE,BTOB,64.5
AILEE,Apink,64.0
AILEE,G.NA,54.5
AILEE,miss A,57.5
AILEE,f(x),61.0
AILEE,2NE1,63.0
AILEE,EXID,61.0
AILEE,Secret,63.0
AILEE,T-ARA,59.5
AILEE,HELLOVENUS,53.0
AILEE,B1A4,57.0
AILEE,4Minute,60.5
AILEE,TEEN TOP,56.0
AILEE,Orange Caramel,55.0
AILEE,After School,56.5
AILEE,DAVICHI,64.0
AILEE,Brown Eyed Girls,56.5
AKMU,BOL4,66.5
AKMU,LeeHi,31.5
AKMU,SURAN,63.0
AKMU,Crush,67.5
AKMU,HEIZE,65.5
AKMU,Yerin Baek,64.0
AKMU,Eddy Kim,58.5
AKMU,WINNER,63.5
AKMU,Jung Seung Hwan,31.5
AKMU,Epik High,65.0
AKMU,Whee In,31.5
AKMU,KIMSEJEONG,31.5
AKMU,Hoody,62.5
AKMU,JAMIE,31.5
AKMU,Sam Kim,31.5
AKMU,Zion.T,63.5
AKMU,MINO,69.0
AKMU,Urban Zakapa,59.5
AKMU,10cm,31.5
AKMU,Standing Egg,31.5
AOA CREAM,FIESTAR,32.5
AOA CREAM,BESTie,30.0
AOA CREAM,LADIES' CODE,34.5
AOA CREAM,Stellar,46.0
AOA CREAM,MelodyDay,27.5
AOA CREAM,D.Holic,24.0
AOA CREAM,PRISTIN,11.5
AOA CREAM,HELLOVENUS,34.5
AOA CREAM,Jun Hyo Seong,29.5
AOA CREAM,SISTAR19,35.0
AOA CREAM,Kriesha Chu,11.5
AOA CREAM,BerryGood,29.5
AOA CREAM,Dalshabet,32.5
AOA CREAM,9MUSES,36.0
AOA CREAM,gugudan,11.5
AOA CREAM,Laysha,11.5
AOA CREAM,Girl's Day,39.5
AOA CREAM,After School,38.0
AOA CREAM,Orange Caramel,36.5
AOA CREAM,Crayon Pop,33.5
AZ,Los Angeles De Charly,39.5
AZ,Rayito Colombiano,39.5
AZ,Bronco,39.5
AZ,Los Socios Del Ritmo,39.5
AZ,Los Acosta,39.5
AZ,Rigo Tovar,39.5
AZ,Grupo Kual?,39.5
AZ,Los Askis,39.5
AZ,La Sonora Dinamita,39.5
AZ,Grupo Bryndis,39.5
AZ,Aaron Y Su Grupo Ilusion,39.5
AZ,Grupo Mojado,39.5
AZ,K-Paz De La Sierra,39.5
AZ,Los Bukis,39.5
AZ,Mi Banda El Mexicano,39.5
AZ,Banda Machos,39.5
AZ,Los Tigrillos,39.5
AZ,Los Yonic's,39.5
AZ,La Apuesta,39.5
AZ,La Sonora Santanera,39.5
AZIATIX,B1A4,41.5
AZIATIX,TEEN TOP,40.5
AZIATIX,U-KISS,39.5
AZIATIX,Ledapple,30.5
AZIATIX,M.I.B,27.5
AZIATIX,MYNAME,31.0
AZIATIX,G.NA,39.0
AZIATIX,BTOB,49.0
AZIATIX,Tablo,43.5
AZIATIX,MBLAQ,39.0
AZIATIX,SISTAR,45.5
AZIATIX,Jay Park,54.5
AZIATIX,CNBLUE,43.5
AZIATIX,2NE1,47.5
AZIATIX,GD&TOP,41.5
AZIATIX,G-DRAGON,50.5
AZIATIX,NS Yoon-G,34.5
AZIATIX,AILEE,48.5
AZIATIX,Mighty Mouth,33.0
AZIATIX,SEUNGRI,46.5
Academy of St. Martin in the Fields,I Musici,34.0
Academy of St. Martin in the Fields,Arthur Grumiaux,34.0
Academy of St. Martin in the Fields,Orpheus Chamber Orchestra,34.0
Academy of St. Martin in the Fields,The English Concert,34.0
Academy of St. Martin in the Fields,Academy of Ancient Music,34.0
Academy of St. Martin in the Fields,Philharmonia Orchestra,67.5
Academy of St. Martin in the Fields,Sir Neville Marriner,34.0
Academy of St. Martin in the Fields,Simon Preston,34.0
Academy of St. Martin in the Fields,Pierre Fournier,34.0
Academy of St. Martin in the Fields,Royal Concertgebouw Orchestra,63.5
Academy of St. Martin in the Fields,Hagen Quartett,34.0
Academy of St. Martin in the Fields,English Chamber Orchestra,34.0
Academy of St. Martin in the Fields,Ton Koopman,34.0
Academy of St. Martin in the Fields,Concerto Köln,34.0
Academy of St. Martin in the Fields,Heinz Holliger,34.0
Academy of St. Martin in the Fields,Michala Petri,34.0
Academy of St. Martin in the Fields,Stephen Kovacevich,34.0
Academy of St. Martin in the Fields,Boston Symphony Orchestra,64.5
Academy of St. Martin in the Fields,Wiener Philharmoniker,70.0
Academy of St. Martin in the Fields,Trevor Pinnock,34.0
Aceyalone,Haiku D'Etat,21.0
Aceyalone,Hieroglyphics,47.5
Aceyalone,Freestyle Fellowship,40.5
Aceyalone,Gift Of Gab,21.0
Aceyalone,Mr. Lif,21.0
Aceyalone,Lyrics Born,45.5
Aceyalone,Latyrx,21.0
Aceyalone,The Grouch,21.0
Aceyalone,Abstract Rude,21.0
Aceyalone,Pep Love,21.0
Aceyalone,Visionaries,21.0
Aceyalone,Soul Position,21.0
Aceyalone,Blackalicious,49.5
Aceyalone,Del The Funky Homosapien,52.0
Aceyalone,Casual,21.0
Aceyalone,Sunspot Jonz,21.0
Aceyalone,Zion I,21.0
Aceyalone,Eligh,21.0
Aceyalone,Living Legends,21.0
Aceyalone,Binary Star,43.0
Aer,Alice Cooper,39.0
Aer,Skid Row,39.0
Aer,Guns N' Roses,39.0
Aer,KISS,39.0
Aer,Van Halen,39.0
Aer,Cinderella,39.0
Aer,Whitesnake,39.0
Aer,Quiet Riot,39.0
Aer,Cheap Trick,39.0
Aer,Warrant,39.0
Aer,Ted Nugent,39.0
Aer,Sammy Hagar,39.0
Aer,Mötley Crüe,39.0
Aer,Scorpions,39.0
Aer,Def Leppard,39.0
Aer,ZZ Top,39.0
Aer,Boston,39.0
Aer,Twisted Sister,39.0
Aer,Velvet Revolver,39.0
Aer,Great White,39.0
After School,FIESTAR,44.5
After School,Dalshabet,44.5
After School,HELLOVENUS,46.5
After School,Girl's Day,51.5
After School,Brown Eyed Girls,50.0
After School,G.NA,47.0
After School,LADIES' CODE,46.5
After School,9MUSES,48.0
After School,Ji Yeon,42.5
After School,miss A,50.0
After School,Secret,55.5
After School,KARA,59.5
After School,T-ARA,52.0
After School,SISTAR,54.5
After School,Sunny Hill,42.5
After School,4Minute,54.0
After School,Orange Caramel,48.5
After School,Crayon Pop,45.5
After School,Wonder Girls,53.0
After School,Stellar,58.0
Alana Springsteen,Renee Blair,24.5
Alana Springsteen,Smithfield,50.5
Alana Springsteen,Roman Alexander,24.5
Alana Springsteen,Julia Cole,55.0
Alana Springsteen,Abby Anderson,24.5
Alana Springsteen,SixForty1,24.5
Alana Springsteen,Josh Kerr,24.5
Alana Springsteen,Sophia Scott,53.5
Alana Springsteen,Kylie Morgan,54.5
Alana Springsteen,Ryan Griffin,52.5
Alana Springsteen,MacKenzie Porter,24.5
Alana Springsteen,Mitch Rossell,54.5
Alana Springsteen,Levi Hummon,24.5
Alana Springsteen,Mickey Guyton,24.5
Alana Springsteen,Carter Faith,24.5
Alana Springsteen,Ashley Cooke,58.0
Alana Springsteen,Taylor Acorn,24.5
Alana Springsteen,Sam Grow,24.5
Alana Springsteen,Lauren Duski,51.5
Alana Springsteen,Lily Rose,53.5
Alban Berg Quartett,Borodin Quartet,45.0
Alban Berg Quartett,Quartetto Italiano,40.5
Alban Berg Quartett,Emerson String Quartet,49.0
Alban Berg Quartett,Beaux Arts Trio,43.5
Alban Berg Quartett,Takács Quartet,40.0
Alban Berg Quartett,Guarneri Quartet,36.0
Alban Berg Quartett,Juilliard String Quartet,37.5
Alban Berg Quartett,Mstislav Rostropovich,51.5
Alban Berg Quartett,Amadeus Quartet,40.5
Alban Berg Quartett,Jacqueline du Pré,47.5
Alban Berg Quartett,Sviatoslav Richter,49.5
Alban Berg Quartett,Melos Quartet,39.0
Alban Berg Quartett,Quatuor Ébène,45.5
Alban Berg Quartett,David Oistrakh,43.5
Alban Berg Quartett,Kodály Quartet,46.0
Alban Berg Quartett,Gidon Kremer,50.0
Alban Berg Quartett,Murray Perahia,23.0
Alban Berg Quartett,Nathan Milstein,41.0
Alban Berg Quartett,András Schiff,23.0
Alban Berg Quartett,Belcea Quartet,39.0
Alexandra Kay,Lauren Duski,54.0
Alexandra Kay,Julia Cole,57.5
Alexandra Kay,Sophia Scott,57.0
Alexandra Kay,Kylie Morgan,57.0
Alexandra Kay,Lily Rose,57.0
Alexandra Kay,Ryan Griffin,55.0
Alexandra Kay,Robyn Ottolini,55.0
Alexandra Kay,Sammy Arriaga,54.5
Alexandra Kay,Priscilla Block,28.0
Alexandra Kay,Ashley Cooke,60.5
Alexandra Kay,Alana Springsteen,54.5
Alexandra Kay,Avery Anna,28.0
Alexandra Kay,Mitch Rossell,58.0
Alexandra Kay,Smithfield,53.0
Alexandra Kay,Drew Baldridge,28.0
Alexandra Kay,Britnee Kellogg,28.0
Alexandra Kay,Spencer Crandall,28.0
Alexandra Kay,Kaylee Rose,28.0
Alexandra Kay,Brandon Davis,28.0
Alexandra Kay,David J,28.0
All Saints,Emma Bunton,30.0
All Saints,Sugababes,67.0
All Saints,Spice Girls,66.5
All Saints,Geri Halliwell,59.5
All Saints,Billie Piper,30.0
All Saints,Samantha Mumba,30.0
All Saints,Melanie C,64.0
All Saints,Atomic Kitten,30.0
All Saints,Girls Aloud,63.0
All Saints,Victoria Beckham,30.0
All Saints,S Club 7,65.0
All Saints,Steps,64.5
All Saints,Jamelia,30.0
All Saints,Will Young,58.0
All Saints,Holly Valance,30.0
All Saints,Liberty X,30.0
All Saints,Rachel Stevens,30.0
All Saints,Five,30.0
All Saints,B*Witched,30.0
All Saints,Natalie Imbruglia,30.0
AlphaBAT,JJCC,22.0
AlphaBAT,MYNAME,25.5
AlphaBAT,CROSS GENE,27.0
AlphaBAT,MADTOWN,25.5
AlphaBAT,BIGFLO,42.5
AlphaBAT,HIGH4,32.5
AlphaBAT,M.I.B,22.0
AlphaBAT,Royal Pirates,27.0
AlphaBAT,MAP6,10.0
AlphaBAT,100%,10.0
AlphaBAT,BEAT WIN,10.0
AlphaBAT,BLACK6IX,10.0
AlphaBAT,HISTORY,39.0
AlphaBAT,TheEastLight.,10.0
AlphaBAT,Ledapple,24.0
AlphaBAT,C-CLOWN,44.5
AlphaBAT,TRCNG,10.0
AlphaBAT,Boys Republic,27.5
AlphaBAT,ToppDogg,28.0
AlphaBAT,IMFACT,27.0
Amadeus Quartet,Quartetto Italiano,35.0
Amadeus Quartet,Emerson String Quartet,40.5
Amadeus Quartet,Wilhelm Kempff,16.5
Amadeus Quartet,Alban Berg Quartett,40.5
Amadeus Quartet,Beaux Arts Trio,35.0
Amadeus Quartet,Melos Quartet,33.5
Amadeus Quartet,Pierre Fournier,16.5
Amadeus Quartet,Maria João Pires,16.5
Amadeus Quartet,Borodin Quartet,36.5
Amadeus Quartet,Friedrich Gulda,16.5
Amadeus Quartet,Wilhelm Backhaus,33.5
Amadeus Quartet,Arthur Grumiaux,16.5
Amadeus Quartet,Emil Gilels,16.5
Amadeus Quartet,Mischa Maisky,16.5
Amadeus Quartet,Alicia de Larrocha,16.5
Amadeus Quartet,Orpheus Chamber Orchestra,16.5
Amadeus Quartet,András Schiff,16.5
Amadeus Quartet,Takács Quartet,34.5
Amadeus Quartet,Anatol Ugorski,16.5
Amadeus Quartet,Mikhail Pletnev,16.5
Anders Osborne,Eric Lindell,42.0
Anders Osborne,JJ Grey & Mofro,51.5
Anders Osborne,Warren Haynes,50.5
Anders Osborne,North Mississippi Allstars,56.5
Anders Osborne,Susan Tedeschi,51.0
Anders Osborne,The Derek Trucks Band,49.5
Anders Osborne,Delbert McClinton,49.5
Anders Osborne,The Neville Brothers,48.5
Anders Osborne,The Subdudes,43.0
Anders Osborne,Tab Benoit,49.5
Anders Osborne,Sonny Landreth,45.5
Anders Osborne,Galactic,48.5
Anders Osborne,Gregg Allman,54.0
Anders Osborne,Chris Robinson Brotherhood,43.5
Anders Osborne,Gov't Mule,24.0
Anders Osborne,Bob Weir,50.0
Anders Osborne,Trey Anastasio,49.0
Anders Osborne,Leftover Salmon,48.0
Anders Osborne,Levon Helm,50.5
Anders Osborne,Doyle Bramhall II,45.5
Android52,Night Tempo,49.5
Android52,Desired,47.5
Android52,Moe Shop,21.5
Android52,Macross 82-99,51.0
Android52,GHOST DATA,48.5
Android52,Yung Bae,54.0
Android52,Skylar Spence,46.0
Android52,Mikazuki BIGWAVE,47.0
Android52,Maitro,44.0
Android52,Greyl,42.5
Android52,サクラSAKURA-LEE,21.5
Android52,AnTgry,21.5
Android52,Proux,21.5
Android52,FrankJavCee,45.5
Android52,FIBRE,21.5
Android52,Yuni Wa,21.5
Android52,ConsciousThoughts,21.5
Android52,Dan Mason ダン·メイソン,46.0
Android52,LemKuuja,21.5
Android52,Nokae,21.5
André Cluytens,Sir John Barbirolli,42.5
André Cluytens,Bruno Walter,34.5
André Cluytens,Georges Prêtre,17.0
André Cluytens,Klaus Tennstedt,36.0
André Cluytens,Otto Klemperer,38.0
André Cluytens,Rudolf Kempe,33.5
André Cluytens,Arturo Toscanini,32.0
André Cluytens,Carlo Maria Giulini,42.5
André Cluytens,Jean Martinon,33.5
André Cluytens,Charles Münch,34.5
André Cluytens,Günter Wand,37.5
André Cluytens,Pierre Monteux,35.5
André Cluytens,Kurt Sanderling,17.0
André Cluytens,Evgeny Mravinsky,31.5
André Cluytens,Wolfgang Sawallisch,17.0
André Cluytens,Wilhelm Furtwängler,37.5
André Cluytens,Erich Leinsdorf,37.0
André Cluytens,Sergiu Celibidache,36.5
André Cluytens,Eduard van Beinum,31.0
André Cluytens,George Szell,42.0
Anexo Al Norte,Luis Sanchez y su Corazon Norteño,38.5
Anexo Al Norte,El Nuevo Golpe,33.5
Anexo Al Norte,Conjunto Brio Norteño,39.5
Anexo Al Norte,Los Caporales de Chihuahua,16.5
Anexo Al Norte,La Nueva Onda NorteÑa,36.0
Anexo Al Norte,La Reunion Nortena,43.5
Anexo Al Norte,Conjunto Invensible,16.5
Anexo Al Norte,Sueño Norteño,35.0
Anexo Al Norte,Los Vendavales de Adan Melendez,41.5
Anexo Al Norte,Pepe Tovar,42.5
Anexo Al Norte,Maximo Norte,34.5
Anexo Al Norte,Principez de la Musica Norteña,42.0
Anexo Al Norte,Alvaro Montes y Su Aguila Norteña,16.5
Anexo Al Norte,Nacho Galindo JR Y Su Conjunto Vencedor,16.5
Anexo Al Norte,Revancha Nortena,16.5
